# Histogram of huff_enc execution times
# Unit: microseconds
000015 000175
000016 717280
000017 000867
000018 000964
000019 000222
000020 009269
000021 005925
000022 005006
000023 019662
000024 047883
000025 046198
000026 043011
000027 034000
000028 019408
000029 008053
000030 004266
000031 005487
000032 003695
000033 002346
000034 003019
000035 004309
000036 005669
000037 002117
000038 000896
000039 001184
000040 000946
000041 000861
000042 000847
000043 000662
000044 000550
000045 000544
000046 000651
000047 000760
000048 000629
000049 000398
000050 000381
000051 000331
000052 000236
000053 000252
000054 000175
000055 000130
000056 000083
000057 000062
000058 000036
000059 000037
000060 000022
000061 000016
000062 000021
000063 000015
000064 000018
000065 000016
000066 000017
000067 000013
000068 000018
000069 000015
000070 000009
000071 000012
000072 000007
000073 000011
000074 000018
000075 000012
000076 000013
000077 000014
000078 000008
000079 000016
000080 000013
000081 000015
000082 000006
000083 000004
000084 000010
000085 000008
000086 000005
000087 000005
000088 000008
000089 000004
000090 000005
000091 000003
000092 000001
000093 000004
000094 000006
000095 000003
000096 000005
000097 000011
000098 000006
000099 000003
000100 000002
000101 000004
000102 000005
000103 000003
000104 000002
000105 000002
000106 000002
000107 000003
000108 000002
000109 000001
000111 000004
000112 000005
000113 000001
000115 000001
000116 000001
000117 000003
000118 000001
000119 000003
000120 000001
000121 000004
000122 000003
000123 000001
000124 000001
000125 000002
000126 000001
000127 000003
000129 000001
000132 000001
000137 000001
000138 000001
000139 000001
000140 000001
000141 000002
000142 000002
000143 000001
000144 000001
000145 000003
000148 000001
000150 000001
000151 000001
000152 000004
000154 000001
000155 000003
000156 000001
000159 000002
000160 000003
000162 000001
000166 000001
000167 000001
000168 000001
000169 000001
000171 000001
000181 000002
000182 000001
# Total Loops: 1000000
# Min Latency: 15
# Avg Latency: 19
# Max Latency: 182
# Overflows:   0
