# Histogram of lift execution times
# Unit: microseconds
000017 000001
000018 001107
000019 854437
000020 051948
000021 001842
000022 000527
000023 002483
000024 011995
000025 003318
000026 001062
000027 000291
000028 000067
000029 000154
000030 009263
000031 004959
000032 003369
000033 005122
000034 004180
000035 003755
000036 007534
000037 002967
000038 004543
000039 002178
000040 004055
000041 004292
000042 003601
000043 002757
000044 001589
000045 002275
000046 001391
000047 000439
000048 000605
000049 000165
000050 000191
000051 000153
000052 000167
000053 000175
000054 000179
000055 000166
000056 000120
000057 000084
000058 000056
000059 000048
000060 000036
000061 000036
000062 000046
000063 000029
000064 000032
000065 000026
000066 000023
000067 000015
000068 000016
000069 000014
000070 000011
000071 000009
000072 000008
000073 000006
000074 000009
000075 000010
000076 000006
000077 000003
000078 000004
000079 000003
000081 000003
000082 000002
000083 000001
000084 000004
000085 000003
000086 000002
000088 000003
000090 000001
000091 000001
000093 000001
000094 000003
000095 000001
000097 000001
000099 000001
000100 000003
000101 000003
000102 000004
000107 000001
000109 000001
000110 000001
000113 000001
000118 000002
000124 000001
000126 000001
000128 000001
000129 000001
000142 000001
# Total Loops: 1000000
# Min Latency: 17
# Avg Latency: 20
# Max Latency: 142
# Overflows:   0
