# Histogram of matrix1 execution times
# Unit: microseconds
000000 993585
000001 005590
000002 000054
000003 000016
000004 000011
000005 000008
000006 000002
000007 000080
000008 000083
000009 000191
000010 000119
000011 000114
000012 000056
000013 000038
000014 000014
000015 000015
000016 000009
000017 000004
000019 000002
000020 000003
000021 000001
000022 000001
000032 000001
000034 000001
000045 000002
# Total Loops: 1000000
# Min Latency: 0
# Avg Latency: 0
# Max Latency: 45
# Overflows:   0
